Political Entities,Start,End,Ethnic Group,Language,Religion,Founder,Capital,Present Day Location,Code,Region,Duration (year),Area (thousand km2),Population (million),,Duration,Area,Population,Economics,Military,Culture,Technology,Governance,Social,,Overall
Vajji / 跋耆,-550,-468,Indo-Aryan / 印度-雅利安,Magadhi Prakrit / 摩揭陀俗语,Vedism / 吠陀教,Shaishunaga / 悉输那伽,Vaishali / 毗舍离,Basarh / 巴萨尔,IND,South Asia / 南亚,82,30,2.5,,C,D,D,B,B,B,D,B,C,,44
Kamboja / 剑浮沙,-550,-250,Indo-Aryan / 印度-雅利安,Avestan / 阿维斯陀语,Vedism / 吠陀教,Chandravarman / 旃陀罗跋摩,Rajapuri / 拉贾普里,Rajauri / 拉乔里,IND,South Asia / 南亚,300,8,0.6,,A,D,D,C,C,C,D,C,C,,35
Haryanka Dynasty / 诃黎王朝（摩揭陀）,-544,-413,Indo-Aryan / 印度-雅利安,Magadhi Prakrit / 摩揭陀俗语,Vedism / 吠陀教,Bimbisara / 频毘娑罗,Rajagriha / 王舍城,Rajgir / 拉杰吉尔,IND,South Asia / 南亚,131,60,4.5,,B,D,C,B,B,B,C,C,C,,48
Roman Republic / 罗马共和国,-509,-27,Italic / 古意大利,Old Latin / 古体拉丁语,Roman Polytheism / 罗马多神教,Lucius Junius Brutus / 卢修斯·尤尼乌斯·布鲁图斯,Rome / 罗马,Rome / 罗马,ITA,South Europe / 南欧,482,1950,50,,A,B,A,A,A,A,B,B,B,,72
Odrysian Kingdom / 奥德里西亚王国,-480,-30,Thracian / 色雷斯,Thracian / 色雷斯语,Thracian Polytheism / 色雷斯多神教,Teres I / 特雷斯一世,Odrysa / 奥德里萨,Edirne / 埃迪尔内,TUR,South Europe / 南欧,450,160,0.9,,A,C,D,C,B,C,C,C,C,,43
Kingdom of Anuradhapura / 阿努拉德普勒王国,-437,1017,Sinhala / 僧伽罗（印度-雅利安）,Sinhala / 僧伽罗语,Theravāda Buddhism / 佛教（上座部佛教）,Pandukabhaya / 般度迦婆耶,Anuradhapura / 阿努拉德普勒,Anuradhapura / 阿努拉德普勒,LKA,South Asia / 南亚,1454,67,2,,S,D,D,B,B,A,B,B,B,,57
Shaishunaga Dynasty / 幼龙王朝（摩揭陀）,-413,-345,Indo-Aryan / 印度-雅利安,Magadhi Prakrit / 摩揭陀俗语,Vedism / 吠陀教,Shaishunaga / 悉输那伽,Pataliputra / 华氏城,Patna / 巴特那,IND,South Asia / 南亚,68,80,5.5,,C,D,C,B,B,B,C,B,C,,49
Twenty-eighth Dynasty of Egypt / 古埃及（第二十八王朝）,-404,-398,Ancient Egyptian / 古埃及,Demotic Egyptian / 世俗埃及语,Ancient Egyptian Religion / 古埃及宗教,Amyrtaeus / 阿米尔塔尼乌斯,Sais / 塞易斯,Sa el-Hajar / 萨艾尔哈贾尔,EGY,North Africa / 北非,6,25,1.5,,D,D,D,D,C,C,D,C,D,,28
Zhao / 赵（诸侯国）,-403,-228,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Zhao Ji / (嬴)赵籍,Handan / 邯郸,Handan / 邯郸,CHN,East Asia / 东亚,175,500,5,,B,C,C,B,B,B,B,B,B,,56
Wei / 魏（诸侯国）,-403,-225,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Wei Si / (姬)魏斯,Daliang / 大梁,Kaifeng / 开封,CHN,East Asia / 东亚,178,250,2,,B,C,D,B,B,B,B,A,B,,56
Han / 韩（诸侯国）,-403,-230,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Han Qian / (姬)韩虔,Xinzheng / 新郑,Xinzheng / 新郑,CHN,East Asia / 东亚,173,100,1.5,,B,C,D,B,C,B,B,B,C,,50
Thaton Kingdom / 直通王国,-400,1057,Mon / 孟,Mon / 孟语,Theravāda Buddhism / 佛教（上座部佛教）,Thiha Yaza / 梯诃罗阇,Thaton / 直通,Thaton / 直通,MMR,Southeast Asia / 东南亚,1457,90,0.9,,S,D,D,B,C,A,B,B,B,,54
Pandya Dynasty / 潘地亚王朝,-400,1618,Tamil / 泰米尔（达罗毗荼）,Old Tamil / 古泰米尔语,Hinduism / 印度教,Netunceliyan I / 内顿切利扬一世,Madurai / 马杜赖,Madurai / 马杜赖,IND,South Asia / 南亚,2018,150,5,,S,C,C,B,C,B,C,C,C,,49
Illyrian Kingdom / 伊利里亚王国,-400,-135,Illyrian / 伊利里亚,Illyrian / 伊利里亚语,Illyrian Polytheism / 伊利里亚多神教,Bardylis / 巴耳底利斯,Skodra / 斯科德拉,Shkodër / 斯库台,ALB,South Europe / 南欧,265,100,0.5,,A,C,D,C,C,D,D,C,C,,34
Twenty-ninth Dynasty of Egypt / 古埃及（第二十九王朝）,-398,-380,Ancient Egyptian / 古埃及,Demotic Egyptian / 世俗埃及语,Ancient Egyptian Religion / 古埃及宗教,Nepherites I / 尼斐利提斯一世,Mendes / 门德斯,Tell el-Ruba / 泰勒鲁巴,EGY,North Africa / 北非,18,90,2.5,,D,D,D,C,C,C,D,C,C,,32
Thirtieth Dynasty of Egypt / 古埃及（第三十王朝）,-380,-343,Ancient Egyptian / 古埃及,Demotic Egyptian / 世俗埃及语,Ancient Egyptian Religion / 古埃及宗教,Nectanebo I / 内克塔内布一世,Sebennytos / 塞本尼托斯,Samannud / 萨曼努德,EGY,North Africa / 北非,37,90,3,,D,D,C,B,B,B,C,B,C,,48
Nanda Empire / 难陀王朝（摩揭陀）,-345,-321,Indo-Aryan / 印度-雅利安,Magadhi Prakrit / 摩揭陀俗语,Jainism / 耆那教,Mahapadma Nanda / 摩诃帕德摩·难陀（大红莲王）,Pataliputra / 华氏城,Patna / 巴特那,IND,South Asia / 南亚,24,700,8,,D,C,C,B,B,C,C,C,D,,44
Kingdom of Cappadocia / 卡帕多西亚王国,-331,17,Persian / 波斯,Koine Greek / 通用希腊语,Anatolian Polytheism / 安纳托利亚多神教,Ariarathes I / 阿里阿拉特一世,Mazaca / 马扎卡,Kayseri / 开塞利,TUR,West Asia / 西亚,348,100,1,,A,C,D,C,C,C,C,B,C,,42
Atropatene / 阿特罗帕特尼王国,-323,226,Persian / 波斯,Median / 米底语,Zoroastrianism / 祆教,Atropates / 阿特罗巴特斯,Ganzak / 甘扎克,Leylan / 莱兰,IRN,West Asia / 西亚,549,140,0.7,,S,C,D,C,C,C,C,C,C,,41
Maurya Empire / 孔雀王朝,-320,-185,Indo-Aryan / 印度-雅利安,Magadhi Prakrit / 摩揭陀俗语,Buddhism / 佛教,Chandragupta Maurya / 旃陀罗笈多·孔雀（月护王）,Pataliputra / 华氏城,Patna / 巴特那,IND,South Asia / 南亚,135,4200,22,,B,A,B,A,A,A,B,A,B,,73
Seleucid Empire / 塞琉古帝国,-312,-63,Greek / 希腊,Ancient Greek / 古希腊语,Ancient Greek Polytheism / 古希腊多神教,Seleucus I Nicator / 塞琉古一世,Antioch / 安条克,Antakya / 安塔基亚,TUR,West Asia / 西亚,249,3900,30,,A,A,A,A,A,A,B,B,B,,74
Ptolemaic Kingdom / 托勒密王国,-305,-30,Greek / 希腊,Koine Greek / 通用希腊语,Ptolemaic Cult / 亚历山大崇拜,Ptolemy I Soter / 托勒密一世,Alexandria / 亚历山大,Alexandria / 亚历山大,EGY,North Africa / 北非,275,400,5,,A,C,C,A,A,S,B,A,B,,71
Kingdom of Iberia / 伊比利亚王国,-302,523,Georgian / 格鲁吉亚,Old Georgian / 古格鲁吉亚语,Christianity / 基督教,Pharnavaz I / 法尔纳瓦兹一世,Mtskheta / 姆茨赫塔,Mtskheta / 姆茨赫塔,GEO,West Asia / 西亚,825,30,0.4,,S,D,D,B,B,B,C,B,C,,50
Chola Sangam Period / 朱罗王朝,-300,300,Tamil / 泰米尔（达罗毗荼）,Old Tamil / 古泰米尔语,Hinduism / 印度教,Ilemchetchenni / 伊兰姆切特切尼,Uraiyur / 乌拉尤尔,Tiruchirappalli / 蒂鲁吉拉伯利,IND,South Asia / 南亚,600,40,0.8,,S,D,D,C,C,B,C,C,C,,42
Kingdom of Pergamon / 帕加马王国,-282,-129,Greek / 希腊,Koine Greek / 通用希腊语,Ancient Greek Polytheism / 古希腊多神教,Philetaerus / 菲莱泰罗斯,Pergamon / 帕加马,Bergama / 贝尔加马,TUR,West Asia / 西亚,153,120,0.6,,B,C,D,B,B,A,B,A,B,,59
Kingdom of Pontus / 本都王国,-281,62,Persian / 波斯,Koine Greek / 通用希腊语,Ancient Greek Polytheism / 古希腊多神教,Mithridates I / 米特里达梯一世,Amaseia / 阿马西亚,Amasya / 阿马西亚,TUR,West Asia / 西亚,343,200,1,,A,C,D,B,B,B,C,B,C,,51
Kingdom of Sophene / 索菲尼王国,-260,-95,Armenian / 亚美尼亚,Imperial Aramaic / 帝国阿拉姆语,Zoroastrianism / 祆教,Sames I / 萨梅斯一世,Carcathiocerta / 卡尔卡提奥塞塔,Eğil / 埃伊勒,TUR,West Asia / 西亚,165,30,0.1,,B,D,D,C,C,C,C,C,C,,37
Greco-Bactrian Kingdom / 希腊-巴克特里亚王国,-256,-120,Greek / 希腊,Koine Greek / 通用希腊语,Ancient Greek Polytheism / 古希腊多神教,Diodotus I / 狄奥多特一世,Bactra / 巴尔赫,Balkh / 巴尔赫,AFG,Central Asia / 中亚,136,2500,1.5,,B,B,D,B,B,A,C,C,C,,53
Nabataean Kingdom / 纳巴泰王国,-250,106,Arab / 阿拉伯,Nabataean Aramaic / 纳巴泰阿拉姆语,North Arabian Polytheism / 北阿拉伯多神教,Aretas I / 阿雷塔一世,Petra / 佩特拉,Wadi Musa / 穆萨河谷,JOR,West Asia / 西亚,356,200,0.1,,A,C,D,B,B,A,B,B,B,,58
Chera Dynasty / 哲罗王朝,-250,450,Tamil / 泰米尔（达罗毗荼）,Old Tamil / 古泰米尔语,Hinduism / 印度教,Uthiyan Cheralathan / 乌提延·哲罗拉坦,Vanchi / 穆吉里斯,Kochi / 科钦,IND,South Asia / 南亚,700,100,1,,S,C,D,B,C,B,C,C,C,,47
Parthian Empire / 安息帝国,-247,224,Parthian / 帕提亚,Parthian / 安息语,Zoroastrianism / 祆教,Arsaces I / 阿尔沙克一世,Ctesiphon / 泰西封,Al-Mada'in / 马达因,IRQ,West Asia / 西亚,471,2800,20,,A,B,B,B,A,B,C,B,C,,60
Kingdom of Dardania / 达达尼亚王国,-231,-28,Dardani / 达达尼,Dardanian / 达达尼亚语,Illyrian Polytheism / 伊利里亚多神教,Longarus / 隆加鲁斯,Scupi / 斯库皮,Skopje / 斯科普里,MKD,South Europe / 南欧,203,30,0.1,,A,D,D,D,C,D,D,D,D,,26
Mauretania / 毛里塔尼亚王国,-225,40,Berber / 柏柏尔,Old Berber / 古柏柏尔语,Traditional Berber Religion / 柏柏尔传统信仰,Baga / 巴加,Volubilis / 瓦卢比利斯,Moulay Idriss Zerhoun / 泽尔洪,MAR,North Africa / 北非,265,800,1.2,,A,C,D,B,C,B,C,B,C,,48
Qin / 秦,-221,-207,Huaxia / 华夏,Old Chinese / 上古汉语,Legalisim / 法家,Ying Zheng / 嬴政,Xianyang / 咸阳,Xianyang / 咸阳,CHN,East Asia / 东亚,14,3400,25,,D,A,B,B,A,B,B,A,C,,64
Xiongnu / 匈奴,-220,48,Xiongnu / 匈奴,Xiongnu / 匈奴语,Tengrism / 腾格里教,Touman / 头曼,Chanyuting / 单于庭,Ulaanbaatar / 乌兰巴托,MNG,East Asia / 东亚,268,4000,1.5,,A,A,D,C,B,D,D,B,C,,43
Western Chu / 西楚,-206,-202,Han / 汉,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Xiang Yu / 项羽,Pengcheng / 彭城,Xuzhou / 徐州,CHN,East Asia / 东亚,4,400,4,,D,C,C,D,B,D,D,D,D,,30
Nanyue / 南越,-203,-111,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Zhao Tuo / 赵佗,Panyu / 番禺,Guangzhou / 广州,CHN,East Asia / 东亚,92,450,1.3,,C,C,D,C,C,C,C,C,C,,38
Western Han / 西汉,-202,9,Han / 汉,Old Chinese / 上古汉语,Confucianism / 儒家,Liu Bang / 刘邦,Chang'an / 长安,Xi'an / 西安,CHN,East Asia / 东亚,211,6090,60,,A,A,A,A,A,S,B,A,A,,80
Numidia / 努米底亚,-202,-25,Berber / 柏柏尔,Numidian / 努米底亚语,Traditional Berber Religion / 柏柏尔传统信仰,Masinissa / 马西尼萨,Cirta / 瑟尔塔,Constantine / 君士坦丁,DZA,North Africa / 北非,177,200,0.4,,B,C,D,B,B,C,C,B,C,,47
Indo-Greek Kingdom / 印度-希腊王国,-200,10,Greek / 希腊,Koine Greek / 通用希腊语,Ancient Greek Polytheism / 古希腊多神教,Apollodotus I / 阿波罗多特斯一世,Taxila / 塔克西拉,Wah / 瓦赫,PAK,South Asia / 南亚,210,1100,8,,A,B,C,B,C,A,C,B,C,,55
Wiman Chosŏn / 卫满朝鲜,-194,-108,Yemaek / 濊貊,Yemaek / 濊貊语,Korean Shamanism / 朝鲜巫教,Wi Man / 卫满,Wanggeom-seong / 王险城,Pyongyang / 平壤,PRK,East Asia / 东亚,86,110,0.7,,C,C,D,C,C,C,C,C,D,,37
Shunga Empire / 巽伽王朝,-185,-73,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Brahmanism / 婆罗门教,Pushyamitra Shunga / 普希亚密特拉·巽伽（华友王）,Pataliputra / 华氏城,Patna / 巴特那,IND,South Asia / 南亚,112,500,8,,B,C,C,C,C,B,C,C,C,,44
Dacia / 达契亚,-168,106,Dacian / 达契亚,Dacian / 达契亚语,Thracian Polytheism / 色雷斯多神教,Rubobostes / 鲁博博斯特斯,Sarmizegetusa Regia / 萨尔米基盖扎雷吉亚,Orăștioara de Sus / 上奥勒什蒂瓦拉,ROU,South Europe / 南欧,274,200,0.5,,A,C,D,C,B,C,C,C,C,,43
Kingdom of Commagene / 科马基尼王国,-163,72,Persian / 波斯,Koine Greek / 通用希腊语,Ancient Greek Polytheism / 古希腊多神教,Ptolemaeus / 托勒密厄斯,Samosata / 萨莫萨塔,Samsat / 萨姆萨特,TUR,West Asia / 西亚,235,10,0.08,,A,D,D,C,C,B,C,C,C,,41
Mahameghavahana Dynasty / 摩诃牟伽伐哈那王朝,-150,350,Indo-Aryan / 印度-雅利安,Ardhamagadhi Prakrit / 半摩揭陀俗语,Jainism / 耆那教,Mahameghavahana / 摩诃牟伽伐哈那,Toshali / 睹舍离,Bhubaneswar / 布巴内什瓦尔,IND,South Asia / 南亚,500,220,1.5,,S,C,D,B,B,B,C,C,C,,50
Kingdom of Hatra / 哈特拉王国,-150,241,Arab / 阿拉伯,Hatra Aramaic / 哈特拉阿拉姆语,Mesopotamia Polytheism / 美索不达米亚多神教,Worod / 沃罗德,Hatra / 哈特拉,Hatra / 哈特拉,IRQ,West Asia / 西亚,391,8,0.1,,A,D,D,C,C,B,C,C,C,,41
Hasmonean Kingdom / 哈斯蒙尼王国,-141,-37,Jew / 犹太,Middle Aramaic / 中古阿拉姆语,Judaism / 犹太教,Simon Thassi / 西门·塔西,Jerusalem / 耶路撒冷,Jerusalem / 耶路撒冷,ISR,West Asia / 西亚,104,30,0.3,,B,D,D,B,B,B,C,B,C,,48
Satavahana Dynasty / 百乘王朝,-120,224,Indo-Aryan / 印度-雅利安,Maharashtri Prakrit / 摩诃剌陀俗语,Brahmanism / 婆罗门教,Simuka / 须慕迦,Pratishthana / 波罗底湿陀那,Paithan / 派坦,IND,South Asia / 南亚,344,700,9,,A,C,C,B,B,B,C,B,B,,54
Kingdom of Himyar / 希木叶尔王国,-110,578,Himyarite / 希木叶尔,Himyarite / 希木叶尔语,South Arabian Polytheism / 南阿拉伯多神教,Karibʾīl Watar Yuhanʿim / 卡里比尔·瓦塔尔·尤汉伊姆,Zafar / 采法尔,Zafar / 采法尔,YEM,West Asia / 西亚,688,300,0.4,,S,C,D,B,B,B,C,B,C,,52
Indo-Scythian Kingdom / 印度-斯基泰王国,-85,400,Scythian / 斯基泰,Scythian / 斯基泰语,Hinduism / 印度教,Maues / 毛伊斯,Sigal / 德兰加纳,Helmand River Valley / 赫尔曼德河谷,AFG,South Asia / 南亚,485,1800,9,,A,B,C,C,B,C,C,C,C,,47
Armenian Empire / 亚美尼亚帝国,-83,-69,Armenian / 亚美尼亚,Koine Greek / 通用希腊语,Zoroastrianism / 祆教,Tigranes the Great / 提格兰二世,Tigranocerta / 提格兰诺塞塔,Silvan / 锡尔万,TUR,West Asia / 西亚,14,900,8,,D,C,C,B,B,B,C,B,C,,50
Kanva Dynasty / 甘婆王朝,-73,-28,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Vasudeva Kanva / 婆薮提婆·甘婆,Pataliputra / 华氏城,Patna / 巴特那,IND,South Asia / 南亚,45,350,5,,D,C,C,C,C,C,D,C,D,,35
Silla / 新罗,-57,935,Yemaek / 濊貊,Old Korean / 古朝鲜语,Mahayana Buddhism / 佛教（大乘佛教）,Hyeokgeose / 赫居世居西干,Seorabeol / 金城,Gyeongju / 庆州,KOR,East Asia / 东亚,992,120,4.5,,S,C,C,B,B,B,B,B,B,,58
Kingdom of Munster / 芒斯特王国,-50,1118,Gael / 盖尔,Old Irish / 古爱尔兰语,Catholicism / 基督教（天主教）,Deda mac Sin / 德达·马克·辛,Cork / 科克,Cork / 科克,IRL,West Europe / 西欧,1168,25,0.2,,S,D,D,C,C,B,C,C,C,,42
Herodian Kingdom / 希律王国,-37,-4,Jew / 犹太,Middle Aramaic / 中古阿拉姆语,Judaism / 犹太教,Herod the Great / 大希律王,Jerusalem / 耶路撒冷,Jerusalem / 耶路撒冷,ISR,West Asia / 西亚,33,30,0.3,,D,D,D,B,C,B,C,C,C,,41
Roman Empire / 罗马帝国,-27,395,Italic / 古意大利,Classical Latin / 古典拉丁语,Roman Polytheism / 罗马多神教,Augustus / 奥古斯都,Rome / 罗马,Rome / 罗马,ITA,South Europe / 南欧,422,5000,70,,A,A,A,S,S,S,B,A,B,,85
Xin / 新,9,23,Han / 汉,Old Chinese / 上古汉语,Confucianism / 儒家,Wang Mang / 王莽,Chang'an / 常安,Xi'an / 西安,CHN,East Asia / 东亚,14,4050,35,,D,A,A,C,C,C,C,D,D,,44
Baekje / 百济,18,660,Yemaek / 濊貊,Old Korean / 古朝鲜语,Mahayana Buddhism / 佛教（大乘佛教）,Onjo / 温祚王,Wiryeswong / 慰礼城,Seoul / 首尔,KOR,East Asia / 东亚,642,50,3.8,,S,D,C,B,B,B,C,B,C,,52
Indo-Parthian Kingdom / 印度-帕提亚王国,19,226,Parthian / 帕提亚,Old Aramaic / 古阿拉姆语,Zoroastrianism / 祆教,Gondophares I / 冈多法勒斯一世,Taxila / 塔克西拉,Wah / 瓦赫,PAK,South Asia / 南亚,207,1000,8,,A,B,C,C,C,C,C,C,C,,44
Eastern Han / 东汉,25,220,Han / 汉,Old Chinese / 上古汉语,Confucianism / 儒家,Liu Xiu / 刘秀,Luoyang / 雒阳,Luoyang / 洛阳,CHN,East Asia / 东亚,195,5800,56,,B,A,A,A,B,A,A,B,B,,73
Chengjia / 成家,25,36,Han / 汉,Old Chinese / 上古汉语,Confucianism / 儒家,Gongsun Shu / 公孙述,Chengdu / 成都,Chengdu / 成都,CHN,East Asia / 东亚,11,500,4,,D,C,C,C,C,D,D,C,C,,33
Kushan Empire / 贵霜帝国,30,375,Yuezhi / 月氏,Bactrian / 巴克特里亚语,Mahayana Buddhism / 佛教（大乘佛教）,Kujula Kadphises / 丘就却,Purushapura / 富楼沙,Peshawar / 白沙瓦,PAK,South Asia / 南亚,345,2500,20,,A,B,B,A,A,A,B,B,B,,70
Western Satraps / 西萨特拉普王朝,35,415,Scythian / 斯基泰,Scythian / 斯基泰语,Hinduism / 印度教,Abhiraka / 阿比拉卡,Ujjain / 乌贾因,Ujjain / 乌贾因,IND,South Asia / 南亚,380,500,5,,A,C,C,B,B,B,C,B,B,,54
Goguryeo / 高句丽,37,668,Yemaek / 濊貊,Old Korean / 古朝鲜语,Mahayana Buddhism / 佛教（大乘佛教）,Ko Chumong / 高朱蒙,Gungnae / 国内城,Ji'an / 集安,CHN,East Asia / 东亚,631,600,3.5,,S,C,C,B,B,B,B,B,C,,57
Funan / 扶南,50,627,Khmer / 高棉,Proto-Khmeric / 原始高棉语,Hinduism / 印度教,Queen Soma / 绍玛女王,Vyadhapura / 毗耶陀补罗,Ba Phnum / 巴布农,KHM,Southeast Asia / 东南亚,577,150,0.6,,S,C,D,C,C,B,C,C,C,,44
Mutal / 穆塔尔,90,869,Maya / 玛雅,Classical Maya / 古典玛雅语,Maya Polytheism / 玛雅多神教,Yax Ehb Xook / 亚什·埃布·肖克,Tikal / 蒂卡尔,Petén Basin / 佩滕盆地,GTM,Central America / 中美,779,20,1,,S,D,D,B,B,A,B,B,B,,57
Kingdom of Aksum / 阿克苏姆王国,100,960,Aksumite / 阿克苏姆,Ge'ez / 吉兹语,Oriental Orthodoxy / 基督教（东方正统教会）,Zoskales / 佐斯卡勒斯,Axum / 阿克苏姆,Axum / 阿克苏姆,ETH,East Africa / 东非,860,1250,2,,S,B,D,A,B,A,B,B,B,,64
Champa / 占婆,192,1832,Cham / 占,Cham / 占语,Hinduism / 印度教,Khu Liên / 区连,Vijaya / 毘阇耶,An Nhơn / 安仁,VNM,Southeast Asia / 东南亚,1640,80,1.5,,S,D,D,C,C,B,C,C,C,,42
Wei / 魏（三国）,220,266,Han / 汉,Middle Chinese / 中古汉语,Confucianism / 儒家,Cao Pi / 曹丕,Luoyang / 洛阳,Luoyang / 洛阳,CHN,East Asia / 东亚,46,2910,6.6,,D,B,C,B,B,B,B,A,B,,58
Ghassanids / 伽珊尼德,220,638,Arab / 阿拉伯,Old Arabic / 古阿拉伯语,Oriental Orthodoxy / 基督教（东方正统教会）,Jafnah ibn Amr / 贾夫纳·伊本·阿姆鲁,Jabiyah / 贾比耶,Nawa / 奈瓦,SYR,West Asia / 西亚,418,250,0.1,,A,C,D,B,C,B,C,B,C,,48
Shu Han / 蜀汉（三国）,221,263,Han / 汉,Middle Chinese / 中古汉语,Confucianism / 儒家,Liu Bei / 刘备,Chengdu / 成都,Chengdu / 成都,CHN,East Asia / 东亚,42,1060,1.5,,D,B,D,C,C,B,B,B,B,,48
Eastern Wu / 吴（三国）,222,280,Han / 汉,Middle Chinese / 中古汉语,Confucianism / 儒家,Sun Quan / 孙权,Jianye / 建业,Nanjing / 南京,CHN,East Asia / 东亚,58,1450,3.7,,C,B,C,C,B,B,B,B,B,,54
Sasanian Empire / 萨珊王朝,224,651,Persian / 波斯,Middle Persian / 中古波斯语,Zoroastrianism / 祆教,Ardashir I / 阿尔达希尔一世,Ctesiphon / 泰西封,Al-Mada'in / 马达因,IRQ,West Asia / 西亚,427,3500,20,,A,A,B,A,A,S,B,A,B,,77
Vakataka Dynasty / 伐迦陀迦王朝,250,510,Indo-Aryan / 印度-雅利安,Maharashtri Prakrit / 摩诃剌陀俗语,Hinduism / 印度教,Vindhyashakti / 文底耶沙克提,Vatsagulma / 跋沙古拉姆,Washim / 瓦斯希姆,IND,South Asia / 南亚,260,220,1.5,,A,C,D,B,B,B,C,B,C,,51
Yamato Kingship / 大和王权,250,710,Yamato / 大和,Old Japanese / 上古日语,Shinto / 神道教,Emperor Sujin / 崇神天皇,Asuka / 飞鸟,Asuka / 明日香村,JPN,East Asia / 东亚,460,100,1,,A,C,D,D,C,C,C,B,C,,39
Western Jin / 西晋,266,316,Han / 汉,Middle Chinese / 中古汉语,Confucianism / 儒家,Sima Yan / 司马炎,Luoyang / 洛阳,Luoyang / 洛阳,CHN,East Asia / 东亚,50,5430,32,,C,A,A,B,B,B,B,B,C,,62
Lakhmid Kingdom / 拉赫姆王国,268,602,Arab / 阿拉伯,Old Arabic / 古阿拉伯语,Nestorian Christianity / 基督教（聂斯托里派）,Amr ibn Adi / 阿姆鲁·伊本·阿迪,Al-Hira / 希拉,Kufa / 库费,IRQ,West Asia / 西亚,334,300,0.1,,A,C,D,B,C,B,C,B,C,,48
Pallava Dynasty / 帕拉瓦王朝,275,897,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Simhavarman I / 僧伽跋摩一世,Kanchipuram / 建志补罗,Kanchipuram / 甘吉布勒姆,IND,South Asia / 南亚,622,120,2,,S,C,D,B,C,B,B,B,C,,52
Tuyuhun / 吐谷浑,284,672,Tuyuhun / 吐谷浑,Tuyuhun / 吐谷浑语,Tuyuhun Shamanism / 吐谷浑萨满教,Murong Tuyuhun / 慕容吐谷浑,Fuqi / 伏俟,Gonghe / 共和,CHN,East Asia / 东亚,388,800,3,,A,C,C,C,C,C,D,C,C,,39
Chouchi / 仇池,296,443,Di / 氐,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Yang Maosou / 杨茂搜,Chouchi / 仇池,Xihe / 西和,CHN,East Asia / 东亚,147,50,0.5,,B,D,D,C,C,C,D,C,C,,34
Ghana Empire / 加纳帝国,300,1250,Soninke / 索宁克,Soninke / 索宁克语,Soninke Religion / 索宁克宗教,Dinga / 丁加,Koumbi Saleh / 昆比萨利赫,Koumbi Saleh / 昆比萨利赫,MRT,West Africa / 西非,950,650,1.5,,S,C,D,A,B,B,C,B,B,,56
Han-Zhao / 汉赵（十六国）,304,329,Xiongnu / 匈奴,Xiongnu / 匈奴语,Mahayana Buddhism / 佛教（大乘佛教）,Liu Yuan / 刘渊,Chang'an / 长安,Xi'an / 西安,CHN,East Asia / 东亚,25,500,2.5,,D,C,D,D,B,D,D,C,C,,31
Cheng-Han / 成汉（十六国）,304,347,Di / 氐,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Li Xiong / 李雄,Chengdu / 成都,Chengdu / 成都,CHN,East Asia / 东亚,43,350,1.5,,D,C,D,C,D,D,D,C,C,,28
Eastern Jin / 东晋,317,420,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Sima Rui / 司马睿,Jiankang / 建康,Nanjing / 南京,CHN,East Asia / 东亚,103,2200,13,,B,B,B,C,C,B,B,B,B,,54
Former Liang / 前凉（十六国）,317,376,Han / 汉,Middle Chinese / 中古汉语,Mahayana Buddhism / 佛教（大乘佛教）,Zhang Shi / 张寔,Guzang / 姑臧,Wuwei / 武威,CHN,East Asia / 东亚,59,250,0.5,,C,C,D,C,C,B,C,C,C,,41
Gupta Empire / 笈多王朝,319,550,Indo-Aryan / 印度-雅利安,Sanskrit / 梵语,Hinduism / 印度教,Gupta / 室利笈多,Pataliputra / 华氏城,Patna / 巴特那,IND,South Asia / 南亚,231,3000,50,,A,A,A,A,B,A,B,A,A,,74
Later Zhao / 后赵（十六国）,319,351,Jie / 羯,Jie / 羯语,Mahayana Buddhism / 佛教（大乘佛教）,Shi Le / 石勒,Xiangguo / 襄国,Xingtai / 邢台,CHN,East Asia / 东亚,32,900,6,,D,C,C,C,B,C,D,C,C,,39
Kidarite Kingdom / 寄多罗王朝,320,467,Huna / 匈那,Bactrian / 巴克特里亚语,Mahayana Buddhism / 佛教（大乘佛教）,Kidara I / 寄多罗,Bactra / 巴尔赫,Balkh / 巴尔赫,AFG,Central Asia / 中亚,147,250,1.5,,B,C,D,C,B,C,C,C,C,,42
Byzantine Empire / 拜占庭帝国（东罗马帝国）,330,1453,Romaioi / 拜占庭罗马,Medieval Greek / 中古希腊语,Eastern Orthodoxy / 基督教（东正教）,Constantine the Great / 君士坦丁大帝,Constantinople / 君士坦丁堡,Istanbul / 伊斯坦布尔,TUR,South Europe / 南欧,1123,3400,20,,S,A,B,A,A,S,B,A,A,,79
